huc,name,reason
1806001401,San Miguel Island - Santa Rosa Island,failed on get_nhd
1805000506,Farallon Islands,failed on get_nhd
1710031206,Mack Arch Cove-Pacific Ocean,failed on get_nhd
1807030513,Tijuana River - Frontal Pacific Ocean,failed on get_nhd
1807030512,Lower Cottonwood Creek,failed on get_nhd
1807030506,Lower Rio De Las Palmas,failed on get_nhd
1807030507,Arroyo Florido,failed on get_nhd
1807030511,Tecate Creek,failed on get_nhd
1807030505,Arroyo Seco,failed on get_nhd
1807030503,Arroyo De La Cienaga,failed on get_nhd
1807030504,Upper Rio De Las Palmas,failed on get_nhd
1807030501,El Beltran,failed on get_nhd
1807030502,Arroyo De Las Calabazas,failed on get_nhd
1503010703,,failed on get_nhd
1503010704,,failed on get_nhd
1503010705,,failed on get_nhd
1503010706,,failed on get_nhd
